# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	ThiagoSantos_TFC2024
# Description:	 	PtIr_old_AFMtest01_AuSi
# Date:	 	05/15/2024 11:56:15
# Scanner Center Position (X, Y):	[µm]	56.97	38.37	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	750.000	1,500.000	 
# Averaging:	 	1	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	0.979340	 	 
# Laser Source:	 	Synchrotron
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,232.594	 	 
# Tip Amplitude:	[mV]	156.699	 	 
# Tapping Amplitude:	[nm]	88.132	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	87.04	 	 
# Regulator (P, I, D):	 	2.551595	4.025369	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.362	 	 
# M1A Cantilever Factor:	 	1.000	 	 
# Q-Factor:	 	376.4	 	 
# Version:	 	2.1.11145.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	30	24.483500000000006	2.3002343	-2.0186577	3.4972322	2.0932488	1.1850495	-1.9120659	1.0634418	2.105003	0.39158598	-1.1489801	0	0	
0	0	31	25.29961666666667	2.1795237	-2.6384413	3.8902757	1.1234655	1.5842724	-2.6479657	1.0911565	1.1837491	0.35119736	-2.1042914	0	0	
0	0	32	26.11573333333334	1.7799225	3.036777	4.2146096	0.16638632	1.8393786	2.8318236	1.1084453	0.18157144	0.29065606	3.0665383	0	0	
0	0	33	26.93185	1.097212	2.4866934	4.3831935	-0.7554226	1.8933908	1.9972296	1.1394707	-0.85105604	0.26106864	1.7330637	0	0	
0	0	34	27.74796666666667	0.31298107	2.776615	4.2920303	-1.6457521	1.7440721	1.1373557	1.1669537	-1.8603876	0.30359343	0.40023637	0	0	
0	0	35	28.56408333333334	1.0394216	-2.5866282	3.9117398	-2.5257704	1.4389998	0.23973224	1.1413718	-2.8194907	0.3763804	-0.7191417	0	0	
0	0	36	29.380200000000002	2.0789926	3.1305225	3.320753	2.8541362	1.0664088	-0.7319507	1.0201151	2.5599618	0.41931668	-1.6907449	0	0	
0	0	37	30.19631666666667	2.8807642	2.4426358	2.6958592	1.88371	0.74224997	-1.8458947	0.7942862	1.7201154	0.39963862	-2.586462	0	0	
0	0	38	31.012433333333334	3.23581	1.7100548	2.265222	0.8234061	0.5729341	-3.1102774	0.49700835	1.0011891	0.30982065	2.850826	0	0	
0	0	39	31.828550000000003	3.02387	0.9387999	2.1566472	-0.24642289	0.538713	1.9984063	0.2277662	0.7696024	0.16424482	2.0881083	0	0	
0	0	40	32.64466666666667	2.255939	0.09735365	2.251271	-1.1977023	0.51553667	1.0759475	0.26529288	1.2240024	0.033341408	3.007751	0	0	
0	0	41	33.46078333333333	1.152313	-1.0278559	2.3572283	-2.0057108	0.4601165	0.38634905	0.42011976	0.76241803	0.17696744	-3.099547	0	0	
0	0	42	34.276900000000005	0.9632147	2.9776037	2.3990908	-2.7092361	0.41848904	-0.11834907	0.4565058	0.063780025	0.2886577	2.4174817	0	0	
0	0	43	35.09301666666667	2.1247528	1.6910815	2.394742	2.9247866	0.43290386	-0.61669743	0.3402145	-0.62952656	0.32634956	1.596629	0	0	
0	0	44	35.90913333333334	3.1097577	0.82858115	2.3665597	2.273825	0.47276634	-1.2958397	0.1182242	-0.7271364	0.28241786	0.74612254	0	0	
0	0	45	36.72525	3.5839727	0.059938207	2.2978823	1.5685265	0.50545573	-2.1772687	0.30770707	0.26830155	0.17139214	-0.17926967	0	0	
0	0	46	37.54136666666667	3.4848542	-0.65267855	2.1682842	0.7707165	0.5518455	3.0899508	0.6788551	-0.36920407	0.04571989	-1.9900477	0	0	
0	0	47	38.357483333333334	2.9288101	-1.2949221	2.0130937	-0.14159283	0.63872325	2.0783012	1.0106864	-1.1425561	0.14213161	1.8993704	0	0	
0	0	48	39.17360000000001	2.1895144	-1.8146433	1.928004	-1.1568208	0.74016535	1.1849911	1.2386148	-1.9480655	0.25011384	0.963711	0	0	
0	0	49	39.989716666666666	1.6360726	-2.1567862	1.9785525	-2.2050228	0.8116654	0.44252327	1.3274207	-2.7706962	0.29701787	0.15569939	0	0	
0	0	50	40.80583333333334	1.4497705	-2.4759266	2.1098607	3.0733247	0.854478	-0.14641097	1.2735465	2.6704936	0.2768561	-0.5717393	0	0	
0	0	51	41.621950000000005	1.3452338	-3.0453353	2.2035167	2.1276863	0.92861897	-0.6210781	1.1034234	1.7946748	0.20997228	-1.1469475	0	0	
0	0	52	42.43806666666667	1.0905179	2.3043315	2.178412	1.2157739	1.0752132	-1.0924349	0.867925	0.8505133	0.15259017	-1.3670993	0	0	
0	0	53	43.25418333333334	0.9910081	0.86006427	2.0234547	0.29977384	1.2351227	-1.6387264	0.6395285	-0.23262924	0.17663907	-1.4605062	0	0	
0	0	54	44.07030000000001	1.4955983	-0.51429915	1.7940422	-0.6664899	1.296804	-2.250066	0.5113095	-1.5181327	0.23960152	-1.9668231	0	0	
0	0	55	44.88641666666667	2.1866455	-1.523587	1.6090837	-1.728742	1.177894	-2.880291	0.53043914	-2.827581	0.28279185	-2.7206078	0	0	
0	0	56	45.702533333333335	2.6405375	-2.3954322	1.6239858	-2.8666697	0.8694883	2.8344593	0.61723757	2.3342164	0.2961968	2.6756437	0	0	
0	0	57	46.51865	2.659585	3.059011	1.9067122	2.328178	0.4915099	2.6132102	0.68640304	1.3546141	0.29436642	1.6918094	0	0	
0	0	58	47.334766666666674	2.2084317	2.2309103	2.375193	1.3607385	0.50678027	3.0603259	0.7069003	0.44529405	0.2980765	0.6577848	0	0	
0	0	59	48.15088333333334	1.3953505	1.3382292	2.9124925	0.4886427	0.88003737	2.7977996	0.6787582	-0.4240516	0.31542006	-0.35036334	0	0	
0	0	60	48.96700000000001	0.52545744	-0.08098405	3.4318316	-0.32787272	1.1559669	2.2131093	0.61671203	-1.2571319	0.33669856	-1.2840288	0	0	
0	0	61	49.78311666666667	0.83259237	-2.445085	3.8718567	-1.116502	1.2175701	1.5710063	0.54267037	-2.0445573	0.34649912	-2.1450667	0	0	
0	0	62	50.59923333333334	1.5614411	2.8306763	4.18426	-1.8959394	1.0779166	0.95760214	0.48076954	-2.7837648	0.33262214	-2.9538434	0	0	
0	0	63	51.415350000000004	2.01725	2.0337803	4.327821	-2.680404	0.83972085	0.44842938	0.44854224	2.771831	0.2873696	2.561316	0	0	
0	0	64	52.23146666666668	2.1589253	1.2913959	4.2709823	2.8010383	0.6557794	0.08797515	0.44595477	1.9777943	0.20841464	1.8605764	0	0	
0	0	65	53.04758333333334	2.0600207	0.5667053	4.003132	1.9701115	0.5872295	-0.30452466	0.463123	1.054798	0.108341515	1.467668	0	0	
0	0	66	53.8637	1.843964	-0.17292899	3.5500875	1.0967587	0.5156455	-0.9906819	0.5041646	0.00038529394	0.108728796	2.1161747	0	0	
0	0	67	54.67981666666667	1.6411512	-0.9740601	2.9840593	0.16520576	0.40052173	-2.1838923	0.5864138	-1.117363	0.24969949	1.7487472	0	0	
0	0	68	55.49593333333334	1.5724996	-1.869783	2.4156253	-0.83895034	0.5125948	2.458641	0.70538586	-2.2104723	0.40511853	0.99316645	0	0	
0	0	69	56.312050000000006	1.7203484	-2.8126419	1.9516057	-1.908647	0.8955676	1.2711172	0.81969756	3.0367405	0.54274285	0.14679278	0	0	
0	0	70	57.12816666666668	2.0500965	2.5703795	1.6190081	-2.9844546	1.2889876	0.34709576	0.8747784	2.0443318	0.64265233	-0.7387233	0	0	
0	0	71	57.94428333333334	2.414663	1.7382612	1.339452	2.3166451	1.5447552	-0.48649222	0.8301342	1.0700216	0.689796	-1.6480458	0	0	
0	0	72	58.760400000000004	2.6423886	0.95635194	1.0448169	1.5449165	1.6003873	-1.2680886	0.6756562	0.08308902	0.67571187	-2.5773919	0	0	
0	0	73	59.57651666666667	2.5997462	0.20867309	0.86360115	1.1403562	1.471391	-1.9947156	0.43737066	-0.97856516	0.60121334	2.7515838	0	0	
0	0	74	60.39263333333334	2.2268894	-0.50698787	1.0908245	0.8506682	1.2434875	-2.6434717	0.18697158	-2.4380355	0.47856304	1.7539035	0	0	
0	0	75	61.20875000000001	1.5569533	-1.1671515	1.5941898	0.24749415	1.0426519	3.08292	0.19876601	1.2730838	0.33281934	0.65939003	0	0	
0	0	76	62.02486666666667	0.73235196	-1.6120443	2.0738497	-0.5492289	0.9587635	2.5469825	0.39344248	-0.16291055	0.20646532	-0.6843853	0	0	
0	0	77	62.840983333333334	0.4359861	-0.62109244	2.3599188	-1.4400204	0.96742505	1.895382	0.5577382	-1.3514694	0.16564484	-2.3964858	0	0	
0	0	78	63.65710000000001	1.0540516	-0.69505346	2.3839064	-2.4044573	0.99756473	1.0815257	0.69958246	-2.5038362	0.20223893	2.3864126	0	0	
0	0	79	64.47321666666667	1.4722465	-1.222207	2.1897411	2.8181314	1.0251426	0.14596802	0.8349199	2.671878	0.23290578	1.1760799	0	0	
0	0	80	65.28933333333335	1.5606023	-1.7371912	1.9673818	1.620953	1.0540516	-0.84211546	0.9441317	1.6346937	0.23183507	0.044740185	0	0	
0	0	81	66.10545	1.4332265	-2.1040928	1.9908217	0.3388023	1.0696992	-1.8179803	0.98257446	0.6717592	0.20760347	-1.1081575	0	0	
