# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	ThiagoSantos_TFC2024
# Description:	 	PtIr_old_AFMtest01_AuSi
# Date:	 	05/15/2024 11:56:15
# Scanner Center Position (X, Y):	[µm]	56.97	38.37	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	750.000	1,500.000	 
# Averaging:	 	1	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	0.979340	 	 
# Laser Source:	 	Synchrotron
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,232.594	 	 
# Tip Amplitude:	[mV]	156.699	 	 
# Tapping Amplitude:	[nm]	88.132	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	87.04	 	 
# Regulator (P, I, D):	 	2.551595	4.025369	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.362	 	 
# M1A Cantilever Factor:	 	1.000	 	 
# Q-Factor:	 	376.4	 	 
# Version:	 	2.1.11145.0
Row   	Column	Run   	Depth 	Z              	M              	O0A            	O0P            	O1A            	O1P            	O2A            	O2P            	O3A            	O3P            	O4A            	O4P            	O5A            	O5P            	
0     	0     	0     	21    	1.5193866E-06  	3.250995E-05   	140.67424      	0              	8.114109       	2.910353       	2.3334649      	-0.42498443    	0.8321427      	2.5654464      	0.16889787     	-0.75925136    	1.0648803E-07  	1.107468       	
0     	0     	0     	22    	1.5193515E-06  	3.3949043E-05  	140.86642      	0              	8.589055       	2.9030073      	2.4000816      	-0.4174323     	0.91121536     	2.5562449      	0.16683556     	-0.7739836     	1.0648803E-07  	1.107468       	
0     	0     	0     	23    	1.519309E-06   	3.5447993E-05  	140.88205      	0              	7.9392548      	2.9100614      	2.2522945      	-0.43045607    	0.8353081      	2.5837233      	0.14015856     	-0.76594025    	1.0648803E-07  	1.107468       	
0     	0     	0     	24    	1.5193391E-06  	3.691061E-05   	140.50914      	0              	8.742011       	2.9070854      	2.4591327      	-0.4242196     	0.9053705      	2.5216908      	0.16827446     	-0.7693679     	1.0648803E-07  	1.107468       	
0     	0     	0     	25    	1.5194003E-06  	3.8365637E-05  	141.15686      	0              	7.9667134      	2.909993       	2.25191        	-0.43049204    	0.85651577     	2.536108       	0.15469556     	-0.63197744    	1.0648803E-07  	1.107468       	
0     	0     	0     	26    	1.5193598E-06  	3.9791525E-05  	140.41264      	0              	8.513813       	2.9113698      	2.4440196      	-0.43121517    	0.9563368      	2.5082211      	0.16433941     	-0.7800024     	1.0648803E-07  	1.107468       	
0     	0     	0     	27    	1.5193367E-06  	4.1284533E-05  	141.22305      	0              	8.240317       	2.9112122      	2.2830863      	-0.41763794    	0.8631326      	2.508974       	0.16987744     	-0.6752621     	1.0648803E-07  	1.107468       	
0     	0     	0     	28    	1.5193718E-06  	4.2740627E-05  	140.45514      	0              	8.153696       	2.910432       	2.3586295      	-0.43932682    	0.90633345     	2.5769985      	0.1834687      	-0.6999432     	1.0648803E-07  	1.107468       	
0     	0     	0     	29    	1.5193498E-06  	4.4208948E-05  	140.97557      	0              	8.533437       	2.908267       	2.4772117      	-0.41436195    	0.951383       	2.5693676      	0.16310902     	-0.831685      	1.0648803E-07  	1.107468       	
0     	0     	0     	30    	1.5193756E-06  	4.5673285E-05  	140.84773      	0              	7.966248       	2.9154384      	2.260212       	-0.42395014    	0.87629694     	2.558952       	0.16196488     	-0.7441366     	1.0648803E-07  	1.107468       	
